"","X","Animal.ID","Name","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color","Intake.Date","Outcome.Subtype","Sex.upon.Outcome","Age.upon.Outcome","date.y","DOB","outcome","kitten","juvenile","young_adult","adult","old","multicolor","black","blue","brown","gray","orange","seal","silver","white","dom_short","dom_med","dom_long","siam","adopted","AgeDaysInt"
"4710",4710,"A683215","X","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Brown Tabby",2014-07-09,"Partner","Neutered Male","1 year",2014-07-21,2013-07-08,"Transfer",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",366
"4711",4711,"A683249","X","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Cream Tabby/White",2014-07-09,"Partner","Spayed Female","1 year",2014-07-21,2013-07-08,"Transfer",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",366
"4712",4712,"A575839","Sushi","12345 Lamplight Village in Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","4 years","Domestic Shorthair Mix","Tortie",2014-07-09,"","Spayed Female","4 years",2014-07-18,2010-05-20,"Adoption",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",1511
"4715",4715,"A683235","X","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Cream Tabby",2014-07-09,"Partner","Neutered Male","1 year",2014-07-24,2013-07-08,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",366
"4719",4719,"A683331","","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Blue Tabby",2014-07-09,"Partner","Spayed Female","1 year",2014-07-21,2013-07-09,"Transfer",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",365
"4721",4721,"A683328","Solo","Alice Mae Lane & Taff in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Longhair Mix","Blue/White",2014-07-09,"","Neutered Male","2 months",2014-07-15,2014-04-24,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"1",76
"4724",4724,"A683242","Gill","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Blue/White",2014-07-09,"","Neutered Male","1 year",2014-08-02,2013-07-08,"Return to Owner",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",366
"4728",4728,"A683290","","6502 S 1St in Austin (TX)","Stray","Normal","Cat","Intact Female","3 years","Domestic Medium Hair","Brown Tabby",2014-07-09,"SCRP","Intact Female","3 years",2014-07-12,2011-07-09,"Transfer",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",1096
"4733",4733,"A683324","Shanudie","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Female","7 months","Domestic Shorthair Mix","Calico",2014-07-09,"Partner","Spayed Female","8 months",2014-07-30,2013-11-09,"Transfer",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",242
"4734",4734,"A683204","*Spencer","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Male","3 years","Domestic Shorthair Mix","Orange Tabby",2014-07-09,"Partner","Neutered Male","3 years",2014-08-02,2011-07-09,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",1096
"4736",4736,"A683348","*Lance","2903 Skylark in Austin (TX)","Stray","Nursing","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Brown Tabby",2014-07-09,"Foster","Neutered Male","2 months",2014-08-21,2014-06-18,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",21
"4739",4739,"A683245","X","14811 Chicadee in Pflugerville (TX)","Public Assist","Normal","Cat","Intact Male","6 years","Domestic Shorthair Mix","Cream Tabby",2014-07-09,"Partner","Neutered Male","6 years",2014-07-24,2008-07-09,"Transfer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",2191
"4763",4763,"A683447","*Beryl","7715 Hidden View Cir in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Torbie",2014-07-10,"Partner","Intact Female","1 month",2014-07-18,2014-06-03,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",37
"4765",4765,"A683453","*Corey","10000 N. Lamar in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Brown Tabby",2014-07-10,"Partner","Intact Male","1 month",2014-07-17,2014-05-26,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",45
"4766",4766,"A683441","","15609 E Hwy 290 in Travis (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Medium Hair Mix","Torbie/White",2014-07-10,"Partner","Intact Female","1 month",2014-07-12,2014-05-21,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0",50
"4769",4769,"A683471","Frida","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","7 months","Domestic Shorthair Mix","Black/White",2014-07-10,"","Spayed Female","8 months",2014-07-25,2013-11-10,"Adoption",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",242
"4780",4780,"A683438","","15609 E Hwy 290 in Travis (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Black",2014-07-10,"Partner","Intact Female","1 month",2014-07-12,2014-05-21,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",50
"4783",4783,"A683419","Prissy","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","9 years","Domestic Shorthair Mix","White/Brown Tabby",2014-07-10,"","Spayed Female","9 years",2014-10-19,2005-07-10,"Adoption",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"1",3287
"4784",4784,"A683408","","1006 E 7Th in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Tortie",2014-07-10,"Partner","Intact Female","1 year",2014-07-10,2013-01-10,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",546
"4787",4787,"A683417","","1109 South Pleasant Valley in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Siamese Mix","Lynx Point",2014-07-10,"","Neutered Male","2 months",2014-07-16,2014-04-18,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1",83
"4790",4790,"A683427","","7715 Hidden View in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Brown Tabby",2014-07-10,"In Kennel","Intact Female","1 month",2014-07-21,2014-05-26,"Died",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",45
"4793",4793,"A683411","Bobby","1006 E 7Th in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Siamese Mix","Flame Point",2014-07-10,"","Intact Male","2 months",2014-07-14,2014-05-10,"Adoption",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"1",61
"4795",4795,"A683547","Dimples","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","7 years","Domestic Shorthair Mix","Brown Tabby/White",2014-07-11,"In Foster","Spayed Female","7 years",2014-08-01,2007-07-11,"Died",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",2557
"4808",4808,"A683525","","2402 Burleson Ct Austin in Austin (TX)","Stray","Normal","Cat","Intact Male","5 weeks","Domestic Medium Hair","Blue/White",2014-07-11,"Partner","Intact Male","1 month",2014-07-14,2014-06-06,"Transfer",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",35
"4809",4809,"A683517","*Dora","1195 Angelina St in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Calico",2014-07-11,"Partner","Intact Female","1 month",2014-07-19,2014-06-05,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",36
"4820",4820,"A683579","","8107 Springdale Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","White/Orange Tabby",2014-07-12,"","Neutered Male","3 months",2014-07-16,2014-04-12,"Adoption",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"1",91
"4821",4821,"A683606","*Violet","13355 N Us Hwy 183 in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair Mix","Brown Tabby",2014-07-12,"","Spayed Female","2 months",2014-07-16,2014-05-01,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",72
"4823",4823,"A683593","Rocky","7709 Ranch Rd 620 N in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","Brown Tabby/White",2014-07-12,"","Neutered Male","2 months",2014-07-26,2014-04-27,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",76
"4824",4824,"A683587","Nubbins","Austin (TX)","Euthanasia Request","Aged","Cat","Neutered Male","8 years","Japanese Bobtail Mix","White/Blue",2014-07-12,"Suffering","Neutered Male","8 years",2014-07-12,2006-07-12,"Euthanasia",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",2922
"4828",4828,"A683594","Trinity","Travis (TX)","Owner Surrender","Normal","Cat","Intact Female","2 years","Domestic Shorthair Mix","Brown Tabby",2014-07-12,"","Spayed Female","2 years",2014-07-24,2012-07-12,"Adoption",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",730
"4842",4842,"A683634","","5503 Salem Walk in Austin (TX)","Stray","Injured","Cat","Intact Male","4 years","Domestic Shorthair Mix","Cream Tabby",2014-07-13,"Suffering","Intact Male","4 years",2014-07-14,2010-07-13,"Euthanasia",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",1461
"4853",4853,"A683659","","1500 Royal Crest in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Medium Hair Mix","Black/White",2014-07-13,"SCRP","Intact Female","2 years",2014-07-16,2012-07-13,"Transfer",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"0",730
"4858",4858,"A661553","Tatiana","7501 Shelton Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Brown Tabby",2014-07-13,"Partner","Intact Female","1 year",2014-07-25,2013-04-21,"Transfer",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",448
"4863",4863,"A683723","","515 City Park Rd in Pflugerville (TX)","Stray","Normal","Cat","Intact Male","1 weeks","Domestic Shorthair Mix","Brown Tabby",2014-07-14,"Partner","Intact Male","2 weeks",2014-07-18,2014-07-02,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",12
"4871",4871,"A683706","*Gloria","12724 Collindale Cv in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Longhair Mix","Black/White",2014-07-14,"Foster","Spayed Female","2 months",2014-09-01,2014-06-08,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1",36
"4875",4875,"A683719","*Moo","Loyola/Johnny Morris Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Black/White",2014-07-14,"Foster","Spayed Female","7 months",2015-01-24,2014-05-30,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",45
"4878",4878,"A683739","*Mindy","10701 South Ih35 in Austin (TX)","Stray","Nursing","Cat","Intact Female","1 year","Domestic Shorthair Mix","Calico",2014-07-14,"Partner","Intact Female","1 year",2014-07-25,2013-07-14,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",365
"4880",4880,"A683710","","Austin (TX)","Public Assist","Nursing","Cat","Intact Male","0 years","Domestic Shorthair Mix","Brown Tabby",2014-07-14,"","Intact Male","1 day",2014-07-15,2014-07-14,"Died",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",0
"4887",4887,"A683726","","515 City Park Rd in Pflugerville (TX)","Stray","Normal","Cat","Intact Male","1 weeks","Domestic Shorthair Mix","Orange Tabby",2014-07-14,"Partner","Intact Male","2 weeks",2014-07-18,2014-07-02,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",12
"4893",4893,"A683725","","515 City Park Rd in Pflugerville (TX)","Stray","Normal","Cat","Intact Male","1 weeks","Domestic Shorthair Mix","Orange Tabby",2014-07-14,"Partner","Intact Male","2 weeks",2014-07-18,2014-07-02,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",12
"4898",4898,"A683804","L.J.","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Brown Tabby/White",2014-07-15,"Suffering","Intact Female","1 year",2014-07-15,2013-07-15,"Euthanasia",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",365
"4902",4902,"A683838","","5660 Pinon Vista Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Medium Hair Mix","Blue Tabby",2014-07-15,"SCRP","Intact Female","2 years",2014-07-16,2012-07-15,"Transfer",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",730
"4903",4903,"A683776","","907 W Slaughter Ln in Austin (TX)","Stray","Normal","Cat","Intact Female","3 months","Domestic Shorthair Mix","Tortie",2014-07-15,"SCRP","Intact Female","3 months",2014-07-16,2014-04-08,"Transfer",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",98
"4905",4905,"A683819","Rin","12412 Tay Terrace in Austin (TX)","Stray","Normal","Cat","Neutered Male","4 months","Domestic Shorthair Mix","Brown Tabby/White",2014-07-15,"SCRP","Neutered Male","4 months",2014-07-16,2014-03-15,"Transfer",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",122
"4906",4906,"A683779","","7409 E Riverside Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair Mix","Black",2014-07-15,"","Spayed Female","3 months",2014-07-19,2014-04-15,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",91
"4909",4909,"A683796","","3603 Southridge Dr in Austin (TX)","Stray","Nursing","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Torbie",2014-07-15,"Partner","Intact Female","3 weeks",2014-07-15,2014-06-23,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",22
"4911",4911,"A683791","","4200 Duval Rd in Austin (TX)","Stray","Feral","Cat","Intact Male","3 months","Domestic Shorthair Mix","Brown Tabby",2014-07-15,"SCRP","Intact Male","3 months",2014-07-16,2014-03-31,"Transfer",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",106
"4912",4912,"A683768","","7200 Duval Apt 121 in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair Mix","Brown Tabby",2014-07-15,"","Spayed Female","3 months",2014-08-05,2014-04-15,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",91
"4917",4917,"A683775","Logan","2008 E Stassney Ln in Austin (TX)","Stray","Normal","Cat","Neutered Male","6 years","Domestic Shorthair Mix","Brown Tabby/White",2014-07-15,"Suffering","Neutered Male","6 years",2014-07-19,2008-07-15,"Euthanasia",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",2191
"4921",4921,"A683788","","4410 E Riverside Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","3 months","Domestic Medium Hair Mix","Gray Tabby",2014-07-15,"SCRP","Intact Male","3 months",2014-07-17,2014-03-31,"Transfer",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"0",106
"4926",4926,"A683767","Boots","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","1 year","Domestic Longhair Mix","Black/White",2014-07-15,"","Neutered Male","1 year",2014-07-20,2013-01-15,"Adoption",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1",546
"4933",4933,"A683778","","7409 E Riverside Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Medium Hair Mix","Black",2014-07-15,"","Spayed Female","3 months",2014-07-19,2014-04-15,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"1",91
"4935",4935,"A683876","","7101 W Highway 71 in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Brown Tabby",2014-07-16,"Partner","Intact Female","4 weeks",2014-07-16,2014-06-16,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",30
"4938",4938,"A683848","Sugar Foot","Austin (TX)","Owner Surrender","Injured","Cat","Intact Male","3 years","Domestic Shorthair Mix","Blue Tabby",2014-07-16,"Partner","Intact Male","3 years",2014-07-23,2011-07-16,"Transfer",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",1096
"4957",4957,"A683893","","9300 Northgate Blvd #225 in Austin (TX)","Public Assist","Normal","Cat","Spayed Female","1 year","Domestic Longhair Mix","Black/White",2014-07-16,"","Spayed Female","1 year",2014-07-20,2013-07-16,"Return to Owner",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"0",365
"4959",4959,"A683959","","213 W Wild Sena in Austin (TX)","Stray","Nursing","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Brown Tabby",2014-07-17,"Partner","Unknown","2 weeks",2014-07-17,2014-07-02,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",15
"4965",4965,"A683949","","1801 Wells Branch in Austin (TX)","Stray","Normal","Cat","Intact Female","6 days","Domestic Shorthair Mix","Black",2014-07-17,"Partner","Intact Female","1 weeks",2014-07-20,2014-07-11,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",6
"4966",4966,"A683947","","1801 Wells Branch in Austin (TX)","Stray","Normal","Cat","Intact Female","6 days","Domestic Shorthair Mix","Black",2014-07-17,"Partner","Intact Female","1 weeks",2014-07-20,2014-07-11,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",6
"4968",4968,"A683907","Smokey","Berkman Dr & Cronada Hills in Austin (TX)","Stray","Sick","Cat","Intact Female","1 month","Domestic Shorthair Mix","Black Smoke",2014-07-17,"Partner","Intact Female","1 month",2014-07-20,2014-05-20,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",58
"4970",4970,"A683925","Fluffette","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","4 months","Domestic Shorthair Mix","Blue",2014-07-17,"","Intact Female","4 months",2014-07-19,2014-03-02,"Adoption",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",137
"4976",4976,"A683906","Bandit","Berkman Dr & Cronada Hills in Austin (TX)","Stray","Sick","Cat","Intact Female","1 month","Domestic Shorthair Mix","Black",2014-07-17,"Partner","Intact Female","1 month",2014-07-20,2014-05-20,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",58
"4987",4987,"A684031","*Sawyer","10104 N Lamar Blvd in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Orange Tabby",2014-07-18,"Foster","Neutered Male","2 months",2014-08-30,2014-06-11,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",37
"4991",4991,"A684066","","7610 Cameron Rd in Austin (TX)","Stray","Sick","Cat","Intact Male","1 month","Domestic Shorthair Mix","Black",2014-07-18,"Suffering","Intact Male","1 month",2014-07-18,2014-06-03,"Euthanasia",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",45
"4995",4995,"A684037","","6612 Hondo Bend in Austin (TX)","Stray","Normal","Cat","Intact Female","3 months","Domestic Shorthair Mix","White/Brown Tabby",2014-07-18,"SCRP","Intact Female","3 months",2014-07-20,2014-04-03,"Transfer",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",106
"5000",5000,"A684047","Chloe","Brodie Ln And William Cannon in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Siamese Mix","Seal Point",2014-07-18,"Partner","Intact Female","1 month",2014-07-22,2014-06-12,"Transfer",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0",36
"5001",5001,"A684030","*Hugo","10104 N Lamar Blvd in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Orange Tabby",2014-07-18,"Foster","Neutered Male","2 months",2014-08-30,2014-06-11,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"1",37
"5004",5004,"A684013","*Emma","20906 Delorio St in Manor (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Torbie/White",2014-07-18,"Foster","Spayed Female","2 months",2014-08-04,2014-05-29,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",50
"5019",5019,"A684115","*Snowcream","1300 Crossing Place in Austin (TX)","Stray","Normal","Cat","Intact Male","3 years","Domestic Shorthair Mix","Cream Tabby/White",2014-07-19,"Partner","Neutered Male","3 years",2014-08-11,2011-07-19,"Transfer",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",1096
"5023",5023,"A684121","","Sahara Ave in Austin (TX)","Stray","Nursing","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","Brown Tabby/White",2014-07-19,"Partner","Intact Male","2 weeks",2014-07-19,2014-07-04,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",15
"5024",5024,"A684131","","7607 Blessing Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","1 week","Domestic Shorthair Mix","White/Black",2014-07-19,"Partner","Intact Male","1 week",2014-07-19,2014-07-12,"Transfer",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",7
"5030",5030,"A684160","*Rita","10203 Longhorn Skyway in Travis (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Blue Tabby",2014-07-20,"","Spayed Female","2 months",2014-08-21,2014-06-13,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",37
"5036",5036,"A684152","*Mick","1401 E Rundberg Ln in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Medium Hair Mix","Brown Tabby",2014-07-20,"","Spayed Female","2 months",2014-07-27,2014-05-20,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"1",61
"5041",5041,"A684167","","1803 E Anderson Ln. in Austin (TX)","Stray","Nursing","Cat","Intact Female","1 week","Domestic Shorthair Mix","Tortie",2014-07-20,"Partner","Intact Female","1 week",2014-07-20,2014-07-13,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",7
"5044",5044,"A684164","","1630 Wells Branch Pkwy in Austin (TX)","Stray","Normal","Cat","Neutered Male","1 year","Domestic Shorthair Mix","Black/White",2014-07-20,"SCRP","Neutered Male","1 year",2014-07-23,2013-07-20,"Transfer",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",365
"5045",5045,"A684187","","2421 Chateau Village Way in Austin (TX)","Stray","Sick","Cat","Intact Female","1 month","Domestic Shorthair Mix","Blue/White",2014-07-20,"","Spayed Female","2 months",2014-08-08,2014-05-24,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",57
"5048",5048,"A684192","","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","4 months","Domestic Shorthair Mix","Tortie",2014-07-20,"","Spayed Female","4 months",2014-07-25,2014-03-20,"Adoption",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",122
"5049",5049,"A684184","*Azul","2421 Chateau Village Way in Austin (TX)","Stray","Sick","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Blue",2014-07-20,"Foster","Spayed Female","2 months",2014-09-10,2014-06-20,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",30
"5050",5050,"A684180","Blue","2421 Chateau Village Way in Austin (TX)","Stray","Sick","Cat","Intact Male","1 month","Domestic Shorthair Mix","Blue",2014-07-20,"","Intact Male","2 months",2014-08-02,2014-05-29,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",52
"5061",5061,"A684156","Charlie","2001 S Ih 35 in Austin (TX)","Stray","Normal","Cat","Intact Male","5 months","Domestic Shorthair Mix","Orange Tabby/White",2014-07-20,"","Neutered Male","6 months",2014-07-28,2014-01-20,"Adoption",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",181
"5062",5062,"A684275","","91217 Lowden Ln in Travis (TX)","Stray","Nursing","Cat","Intact Male","5 days","Manx Mix","Orange Tabby/White",2014-07-21,"Partner","Intact Male","1 weeks",2014-07-25,2014-07-16,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0",5
"5064",5064,"A684276","","91217 Lowden Ln in Travis (TX)","Stray","Nursing","Cat","Intact Male","5 days","Manx Mix","Orange Tabby/White",2014-07-21,"Partner","Intact Male","1 weeks",2014-07-25,2014-07-16,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0",5
"5065",5065,"A684215","","Unknown  See Memo On Kitten in Austin (TX)","Stray","Sick","Cat","Intact Female","4 weeks","Domestic Medium Hair","Tortie/White",2014-07-21,"Partner","Intact Female","5 weeks",2014-07-23,2014-06-18,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0",33
"5067",5067,"A684252","","4717 Misty Slope in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","Blue",2014-07-21,"","Neutered Male","2 months",2014-07-28,2014-04-29,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",83
"5072",5072,"A684266","","1917 Hearthstone in Austin (TX)","Stray","Sick","Cat","Intact Male","2 months","Domestic Shorthair Mix","Black/White",2014-07-21,"Suffering","Intact Male","2 months",2014-07-21,2014-04-21,"Euthanasia",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",91
"5078",5078,"A684293","*Rainy","Austin (TX)","Stray","Injured","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Blue",2014-07-21,"Foster","Neutered Male","2 months",2014-08-30,2014-06-21,"Adoption",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",30
"5085",5085,"A684372","*Pinochle","Dove Springs Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair Mix","Calico",2014-07-22,"","Spayed Female","2 months",2014-08-02,2014-05-07,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",76
